timestamp,main_aqi,co,no,no2,o3,so2,pm2_5,pm10
1668013200,1,216.96,0.0,10.88,52.93,1.51,1.89,2.18
1668016800,1,223.64,0.0,11.31,50.07,1.67,2.0,2.31
1668020400,1,226.97,0.0,11.65,46.49,1.94,2.22,2.56
1668024000,1,233.65,0.0,11.65,42.56,2.15,2.57,2.91
1668027600,1,236.99,0.0,12.0,37.19,2.38,3.07,3.41
1668031200,1,240.33,0.0,12.17,31.83,2.41,3.41,3.8
1668034800,1,236.99,0.0,11.14,27.89,2.29,3.43,3.9
1668038400,1,230.31,0.0,9.85,25.39,2.21,3.36,3.91
1668042000,1,223.64,0.0,8.65,23.96,2.15,3.26,3.89
1668045600,1,216.96,0.0,7.8,23.6,2.18,3.21,3.98
1668049200,1,211.95,0.0,7.54,23.6,2.35,3.57,4.58
1668052800,1,210.29,0.01,7.63,23.96,2.47,3.67,4.95
1668056400,1,208.62,0.01,7.88,23.6,2.47,3.64,5.2
1668060000,1,213.62,0.04,9.34,22.71,2.53,3.62,5.42
1668063600,1,223.64,0.09,11.48,20.92,2.56,3.38,5.28
1668067200,1,226.97,0.28,11.82,20.21,2.65,2.98,4.98
1668070800,1,226.97,0.75,11.14,21.28,2.89,2.93,5.05
1668074400,1,216.96,0.89,9.51,27.18,3.22,3.21,5.55
1668078000,1,211.95,0.98,8.65,30.4,3.37,3.02,5.23
1668081600,1,210.29,0.92,8.31,32.9,3.52,2.74,4.69
1668085200,1,216.96,1.47,8.74,32.19,3.16,2.68,4.44
1668088800,1,223.64,1.7,10.88,29.68,2.95,3.02,4.85
1668092400,1,226.97,1.22,13.71,28.25,2.92,3.3,5.18
1668096000,1,263.69,1.84,25.7,11.44,2.86,4.55,6.66
1668099600,1,323.77,11.96,29.82,0.32,3.37,6.73,9.22
1668103200,1,390.53,26.15,26.05,0.0,5.01,9.29,12.23
1668106800,2,453.95,39.34,22.96,0.0,7.39,12.34,15.87
1668110400,2,520.71,50.96,20.05,0.0,6.79,15.53,19.7
1668114000,2,574.11,61.69,17.65,0.0,5.01,18.8,23.61
1668117600,3,620.84,71.53,17.99,0.0,3.55,22.48,27.92
1668121200,4,654.22,75.1,21.08,0.0,2.41,25.9,31.42
1668124800,4,647.54,68.84,24.33,0.0,1.8,26.75,31.73
1668128400,3,580.79,46.49,31.53,0.0,1.89,23.48,27.24
1668132000,2,500.68,28.39,31.87,0.0,1.22,18.25,21.09
1668135600,2,433.92,17.43,30.16,0.01,0.94,14.15,16.38
1668139200,2,387.19,10.62,28.79,0.07,0.89,11.68,13.41
1668142800,2,367.16,8.27,27.08,0.11,1.01,10.77,12.16
1668146400,2,390.53,12.07,26.73,0.04,1.91,11.56,12.75
1668150000,2,423.91,19.67,26.73,0.02,2.65,12.48,13.73
1668153600,2,447.27,25.93,26.39,0.4,2.83,13.02,14.77
1668157200,2,453.95,27.27,26.39,1.79,3.1,13.18,15.48
1668160800,1,370.5,10.39,31.53,13.59,3.87,9.08,11.02
1668164400,1,363.83,9.61,30.85,18.78,4.59,7.83,9.87
1668168000,1,343.8,7.38,28.79,23.96,5.72,6.82,8.88
1668171600,1,360.49,13.41,25.02,22.17,5.01,7.82,10.07
1668175200,2,417.23,22.58,28.1,9.83,4.29,10.37,12.97
1668178800,2,460.62,31.29,30.16,3.13,5.19,12.34,15.26
1668182400,2,487.33,39.79,32.22,0.18,7.21,13.97,17.18
1668186000,2,514.03,50.96,31.87,0.0,8.7,16.2,19.79
1668189600,2,547.41,59.9,30.5,0.0,9.66,18.24,22.3
1668193200,2,527.38,58.11,27.42,0.0,8.11,18.2,22.72
1668196800,2,500.68,52.75,20.91,0.0,5.19,17.22,21.91
1668200400,2,480.65,48.28,15.42,0.0,3.49,17.04,21.32
1668204000,2,480.65,44.7,13.19,0.0,2.38,17.29,20.25
1668207600,2,453.95,37.1,13.71,0.0,1.36,16.54,18.86
1668211200,2,417.23,25.48,15.25,0.0,0.81,14.68,16.65
1668214800,2,383.85,15.65,17.31,0.0,0.68,13.15,14.86
1668218400,2,360.49,10.62,18.51,0.0,0.64,12.2,13.65
1668222000,2,347.14,7.38,19.19,0.02,0.64,11.49,12.82
1668225600,2,330.45,5.03,19.19,0.13,0.66,10.91,12.18
1668229200,2,320.43,3.69,18.51,0.45,0.77,10.49,11.62
1668232800,2,323.77,5.03,18.68,0.55,1.4,10.78,12.0
1668236400,2,337.12,7.93,19.54,0.34,1.89,11.1,12.63
1668240000,2,340.46,10.51,19.19,0.91,2.06,11.26,12.88
1668243600,2,337.12,12.18,16.96,3.0,2.15,11.5,13.11
1668247200,2,300.41,5.09,15.94,14.84,1.79,11.12,12.31
1668250800,2,287.06,4.19,13.71,20.03,1.77,10.93,12.0
1668254400,2,277.04,3.3,12.17,22.89,1.7,11.28,12.23
1668258000,2,270.37,2.1,12.85,27.89,1.88,12.47,13.34
1668261600,2,280.38,1.54,15.77,25.75,1.77,14.23,15.14
1668265200,2,290.39,0.92,19.19,19.67,1.59,16.54,17.52
1668268800,2,303.75,0.41,22.62,14.13,1.39,19.13,20.15
1668272400,3,317.1,0.45,25.02,11.27,1.24,20.31,21.35
1668276000,2,327.11,0.4,25.36,10.55,1.22,19.44,20.52
1668279600,2,333.79,0.31,24.33,11.0,1.19,18.8,19.95
1668283200,2,343.8,0.28,24.33,11.09,1.21,19.87,21.11
1668286800,3,353.81,0.26,25.7,11.62,1.22,21.23,22.49
1668290400,3,353.81,0.22,26.39,11.62,1.07,22.1,23.32
1668294000,3,343.8,0.1,25.02,12.7,0.72,21.65,22.72
1668297600,3,323.77,0.04,21.76,15.2,0.59,20.13,21.03
1668301200,2,297.07,0.02,17.65,19.67,0.55,18.13,18.91
1668304800,2,270.37,0.01,14.05,25.39,0.51,15.93,16.63
1668308400,2,247.0,0.0,11.31,30.76,0.47,13.95,14.61
1668312000,2,233.65,0.0,9.77,34.69,0.44,12.11,12.73
1668315600,2,230.31,0.0,9.34,36.48,0.46,10.72,11.33
1668319200,2,236.99,0.01,11.31,34.69,0.68,10.34,10.97
1668322800,2,247.0,0.04,14.22,30.04,0.85,10.29,10.99
1668326400,2,257.02,1.09,14.57,27.18,1.0,10.49,11.27
1668330000,2,257.02,2.93,11.48,30.04,1.12,10.76,11.58
1668333600,2,247.0,3.27,9.0,36.12,1.13,10.7,11.51
1668337200,2,240.33,3.02,7.71,40.77,1.1,10.36,11.15
1668340800,2,236.99,2.4,7.11,47.21,1.15,10.03,10.78
1668344400,2,233.65,1.76,7.11,55.07,1.3,10.08,10.79
1668348000,2,236.99,1.37,8.4,53.64,1.27,10.92,11.67
1668351600,2,236.99,0.72,10.2,50.07,1.21,11.2,11.98
